Region,CurrentScore,LifeExp
Africa,2021 HDI Score,0.557055556
Asia,2021 HDI Score,0.743186047
Australia,2021 HDI Score,0.699846154
Europe,2021 HDI Score,0.875255319
North America,2021 HDI Score,0.740863636
South America,2021 HDI Score,0.754833333
World,2021 HDI Score,0.732
Africa,Life Expectancy,62.9462963
Asia,Life Expectancy,73.65116279
Australia,Life Expectancy,70.60769231
Europe,Life Expectancy,78.28723404
North America,Life Expectancy,72.53181818
South America,Life Expectancy,71.825
World,Life Expectancy,71.4
Africa,Gross National Income per Capita,5344.055556
Asia,Gross National Income per Capita,22396.18605
Australia,Gross National Income per Capita,12117.69231
Europe,Gross National Income per Capita,40920.12766
North America,Gross National Income per Capita,16214.04545
South America,Gross National Income per Capita,14873.08333
World,Gross National Income per Capita,"16,752"
