Country Name,Country Code,Series Name,Series Code,2010 [YR2010]
Afghanistan,AFG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.3681096075378
Albania,ALB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.30796304921017
Algeria,DZA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.705997765100146
American Samoa,ASM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,8.91519863062549
Andorra,AND,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0
Angola,AGO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Antigua and Barbuda,ATG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,6.81585823014881
Argentina,ARG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.82945646358224
Armenia,ARM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.94625960183699
Aruba,ABW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.93449072935622
Australia,AUS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.0426687589854
Austria,AUT,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.689659682673311
Azerbaijan,AZE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.28066203411804
"Bahamas, The",BHS,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,26.4836477562152
Bahrain,BHR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.161178017897207
Bangladesh,BGD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.70234680592128
Barbados,BRB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,10.9878035380727
Belarus,BLR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.25663993369408
Belgium,BEL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Belize,BLZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,40.004341556448
Benin,BEN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Bermuda,BMU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,10.7053281947758
Bhutan,BTN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.33405591814466
Bolivia,BOL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Bosnia and Herzegovina,BIH,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.51127600811555
Botswana,BWA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,15.248305827671
Brazil,BRA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,26.717095855717
British Virgin Islands,VGB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Brunei Darussalam,BRN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.257311506455946
Bulgaria,BGR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.99326304028371
Burkina Faso,BFA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.788198249930744
Burundi,BDI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Cabo Verde,CPV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Cambodia,KHM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.3127114235717
Cameroon,CMR,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.91120598571296
Canada,CAN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.62822732372785
Cayman Islands,CYM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,15.8808582721626
Central African Republic,CAF,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Chad,TCD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Channel Islands,CHI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0
Chile,CHL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,3.17069021002804
China,CHN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.979682650091451
Colombia,COL,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,34.1841604810009
Comoros,COM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
"Congo, Dem. Rep.",COD,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
"Congo, Rep.",COG,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Costa Rica,CRI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,11.5131589726941
Cote d'Ivoire,CIV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Croatia,HRV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.43247839787919
Cuba,CUB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.49855257957249
Curacao,CUW,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Cyprus,CYP,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.719025504733435
Czech Republic,CZE,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.977552917407029
Denmark,DNK,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.756096160309668
Djibouti,DJI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Dominica,DMA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,21.1634239598177
Dominican Republic,DOM,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,25.5180004532178
Ecuador,ECU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,17.4803815359739
"Egypt, Arab Rep.",EGY,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.22205456457373
El Salvador,SLV,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,64.4741155103829
Equatorial Guinea,GNQ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Eritrea,ERI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Estonia,EST,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,5.25484891183339
Eswatini,SWZ,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,19.53343269089
Ethiopia,ETH,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Faroe Islands,FRO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Fiji,FJI,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.32607906807968
Finland,FIN,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.21775606323326
France,FRA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.26591266936055
French Polynesia,PYF,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Gabon,GAB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
"Gambia, The",GMB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,..
Georgia,GEO,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,4.56198147103654
Germany,DEU,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,0.981107785998394
Ghana,GHA,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,1.70301280722129
Gibraltar,GIB,"Intentional homicides (per 100,000 people)",VC.IHR.PSRC.P5,2.97751972606819
