2021 HDI Rank,Country,Continent,Status
1,Switzerland,Europe,Very High
2,Norway,Europe,Very High
3,Iceland,Europe,Very High
4,"Hong Kong, China (SAR)",Asia,Very High
5,Australia,Australia,Very High
6,Denmark,Europe,Very High
7,Sweden,Europe,Very High
8,Ireland,Europe,Very High
9,Germany,Europe,Very High
10,Netherlands,Europe,Very High
11,Finland,Europe,Very High
12,Singapore,Asia,Very High
13,Belgium,Europe,Very High
13,New Zealand,Australia,Very High
15,Canada,Europe,Very High
16,Liechtenstein,Europe,Very High
17,Luxembourg,Europe,Very High
18,United Kingdom,Europe,Very High
19,Japan,Asia,Very High
19,South Korea,Asia,Very High
21,United States of America,North America,Very High
22,Israel,Asia,Very High
23,Malta,Europe,Very High
23,Slovenia,Europe,Very High
25,Austria,Europe,Very High
26,United Arab Emirates,Asia,Very High
27,Spain,Europe,Very High
28,France,Europe,Very High
29,Cyprus,Europe,Very High
30,Italy,Europe,Very High
31,Estonia,Europe,Very High
32,Czechia,Europe,Very High
33,Greece,Europe,Very High
34,Poland,Europe,Very High
35,Bahrain,Asia,Very High
35,Lithuania,Europe,Very High
35,Saudi Arabia,Asia,Very High
38,Portugal,Europe,Very High
39,Latvia,Europe,Very High
40,Andorra,Europe,Very High
40,Croatia,Europe,Very High
42,Chile,South America,Very High
42,Qatar,Asia,Very High
44,San Marino,Europe,Very High
45,Slovakia,Europe,Very High
46,Hungary,Europe,Very High
47,Argentina,South America,Very High
48,Turkey,Europe,Very High
49,Montenegro,Europe,Very High
50,Kuwait,Asia,Very High
51,Brunei,Asia,Very High
52,Russia,Europe,Very High
53,Romania,Europe,Very High
54,Oman,Asia,Very High
55,Bahamas,North America,Very High
56,Kazakhstan,Asia,Very High
57,Trinidad and Tobago,North America,Very High
58,Costa Rica,North America,Very High
58,Uruguay,South America,Very High
60,Belarus,Europe,Very High
61,Panama,North America,Very High
62,Malaysia,Asia,Very High
63,Georgia,Europe,Very High
63,Mauritius,Africa,Very High
63,Serbia,Europe,Very High
66,Thailand,Asia,Very High
67,Albania,Europe,High
68,Bulgaria,Europe,High
68,Grenada,North America,High
70,Barbados,North America,High
71,Antigua and Barbuda,North America,High
72,Seychelles,Africa,High
73,Sri Lanka,Asia,High
74,Bosnia and Herz.,Europe,High
75,Saint Kitts and Nevis,North America,High
76,Iran,Asia,High
77,Ukraine,Europe,High
78,Macedonia,Europe,High
79,China,Asia,High
80,Dominican Rep.,North America,High
